2021-12-09 22:05:21,340 INFO     client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: listen
2021-12-09 22:05:21,342 INFO     client.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:05:24,190 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:05:24,193 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:09:27,882 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:09:27,894 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:10:03,481 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:10:03,483 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:11:37,540 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:11:37,543 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:12:15,731 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:12:15,734 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:13:10,994 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:13:10,996 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:15:49,799 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:15:49,802 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:16:31,676 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:16:31,678 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:17:46,452 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:17:46,469 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:18:18,227 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:18:18,229 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:18:47,368 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:18:47,373 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:19:20,129 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
2021-12-09 22:19:20,131 INFO     client_send.py Установлено соединение с сервером. Ответ сервера: 1
2021-12-09 22:20:02,266 INFO     client_send.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777, режим работы: send
